"mins","seconds","result","replicate","sample_id"
0,0,3.011289845,0,"1-320-129"
0,0,2.885547265,1,"1-320-129"
0,0,2.875749142,2,"1-320-129"
0,0,2.934537881,3,"1-320-129"
0,0,2.238666972,0,"1-320-132"
0,0,2.195359426,1,"1-320-132"
0,0,2.008803845,2,"1-320-132"
0,0,2.012135195,3,"1-320-132"
0,0,2.61395758,0,"1-320-132-dup"
0,0,2.703351949,1,"1-320-132-dup"
0,0,2.999677729,2,"1-320-132-dup"
0,0,3.011265888,3,"1-320-132-dup"
0,0,3.009827726,0,"1-320-133"
0,0,2.627493706,1,"1-320-133"
0,0,2.699918212,2,"1-320-133"
0,0,2.479276112,3,"1-320-133"
0,0,2.949629969,0,"1-320-135"
0,0,3.015895628,1,"1-320-135"
0,0,2.84619089,2,"1-320-135"
0,0,2.818714885,3,"1-320-135"
0,0,2.721877,0,"1-320-136"
0,0,2.468006,1,"1-320-136"
0,0,2.435871,2,"1-320-136"
0,0,2.434264,3,"1-320-136"
0,0,2.895903,0,"1-320-136-dup"
0,0,2.700893,1,"1-320-136-dup"
0,0,3.003159,2,"1-320-136-dup"
0,0,2.783772,3,"1-320-136-dup"
0,0,2.133994,0,"1-320-137"
0,0,2.145345,1,"1-320-137"
0,0,2.15994,2,"1-320-137"
0,0,2.12913,3,"1-320-137"
0,0,3.009646,0,"1-320-138"
0,0,2.737221,1,"1-320-138"
0,0,2.66425,2,"1-320-138"
0,0,2.763166,3,"1-320-138"
0,0,2.964936294,0,"1-320-196"
0,0,2.974924849,1,"1-320-196"
0,0,2.951618219,2,"1-320-196"
0,0,3.008220035,3,"1-320-196"
0,0,2.485485618,0,"1-320-196-dup"
0,0,2.533763638,1,"1-320-196-dup"
0,0,2.428883803,2,"1-320-196-dup"
0,0,2.465508507,3,"1-320-196-dup"
0,0,3.013242,0,"1-320-196-dup2"
0,0,2.94759,1,"1-320-196-dup2"
0,0,2.838171,2,"1-320-196-dup2"
0,0,2.844904,3,"1-320-196-dup2"
0,0,2.894843214,0,"1-320-196-dup3"
0,0,2.840010529,1,"1-320-196-dup3"
0,0,3.006121309,2,"1-320-196-dup3"
0,0,2.848074159,3,"1-320-196-dup3"
0,0,2.285691,0,"1-320-197"
0,0,2.330314,1,"1-320-197"
0,0,2.18157,2,"1-320-197"
0,0,2.269164,3,"1-320-197"
0,0,1.670588235,0,"1-320-197-dup"
0,0,1.608834974,1,"1-320-197-dup"
0,0,1.618585489,2,"1-320-197-dup"
0,0,1.625085832,3,"1-320-197-dup"
0,0,2.809598,0,"1-320-198"
0,0,2.733574,1,"1-320-198"
0,0,2.913718,2,"1-320-198"
0,0,3.007922,3,"1-320-198"
0,0,2.232867933,0,"1-320-198-dup"
0,0,2.312497139,1,"1-320-198-dup"
0,0,2.253994049,2,"1-320-198-dup"
0,0,2.190615702,3,"1-320-198-dup"
0,0,2.463186,0,"1-320-199"
0,0,2.320183,1,"1-320-199"
0,0,2.387668,2,"1-320-199"
0,0,2.154685,3,"1-320-199"
0,0,2.440691,0,"1-320-200"
0,0,2.472827,1,"1-320-200"
0,0,2.450332,2,"1-320-200"
0,0,2.487288,3,"1-320-200"
0,0,2.972534,0,"1-320-201"
0,0,3.012703,1,"1-320-201"
0,0,2.945219,2,"1-320-201"
0,0,2.882554,3,"1-320-201"
0,0,2.50437,0,"1-320-201-dup"
0,0,2.519336,1,"1-320-201-dup"
0,0,2.467785,2,"1-320-201-dup"
0,0,2.491066,3,"1-320-201-dup"
0,0,1.491528191,0,"1-320-202"
0,0,1.463292134,1,"1-320-202"
0,0,1.416785687,2,"1-320-202"
0,0,1.518103304,3,"1-320-202"
0,0,2.845444,0,"1-320-202-dup"
0,0,2.925143,1,"1-320-202-dup"
0,0,2.721655,2,"1-320-202-dup"
0,0,2.847139,3,"1-320-202-dup"
0,0,2.86512932,0,"1-320-203"
0,0,2.875094987,1,"1-320-203"
0,0,2.816961929,2,"1-320-203"
0,0,2.723949035,3,"1-320-203"
0,0,2.994682994,0,"1-320-205"
0,0,3.009631495,1,"1-320-205"
0,0,2.904991989,2,"1-320-205"
0,0,2.913296712,3,"1-320-205"
0,0,3.004630961,0,"1-320-206"
0,0,2.829775235,1,"1-320-206"
0,0,2.701440757,2,"1-320-206"
0,0,2.680586404,3,"1-320-206"
0,0,2.893615015,0,"1-320-246"
0,0,2.949962615,1,"1-320-246"
0,0,2.522383764,2,"1-320-246"
0,0,3.009624781,3,"1-320-246"
0,0,3.01,0,"1-320-59"
0,0,3,1,"1-320-59"
0,0,2.79,2,"1-320-59"
0,0,2.88,3,"1-320-59"
0,0,2.77,0,"1-320-121"
0,0,2.59,1,"1-320-121"
0,0,2.82,2,"1-320-121"
0,0,2.83,3,"1-320-121"
0,0,2.54,0,"1-320-143"
0,0,2.67,1,"1-320-143"
0,0,2.73,2,"1-320-143"
0,0,2.66,3,"1-320-143"
0,0,2.37,0,"1-320-143-dup"
0,0,2.58,1,"1-320-143-dup"
0,0,2.32,2,"1-320-143-dup"
0,0,2.63,3,"1-320-143-dup"
0,0,2.79,0,"1-320-144"
0,0,2.69,1,"1-320-144"
0,0,2.57,2,"1-320-144"
0,0,2.69,3,"1-320-144"
0,0,3,0,"1-320-146"
0,0,2.93,1,"1-320-146"
0,0,2.91,2,"1-320-146"
0,0,2.89,3,"1-320-146"
0,0,3,0,"1-320-146-dup"
0,0,2.84,1,"1-320-146-dup"
0,0,2.55,2,"1-320-146-dup"
0,0,2.72,3,"1-320-146-dup"
0,0,2.69,0,"1-320-147"
0,0,2.66,1,"1-320-147"
0,0,2.61,2,"1-320-147"
0,0,2.63,3,"1-320-147"
0,0,3,0,"1-320-150"
0,0,2.89,1,"1-320-150"
0,0,2.72,2,"1-320-150"
0,0,2.91,3,"1-320-150"
0,0,2.98,0,"1-320-152"
0,0,2.75,1,"1-320-152"
0,0,3.01,2,"1-320-152"
0,0,2.8,3,"1-320-152"
0,0,3.01,0,"1-320-152-dup"
0,0,2.67,1,"1-320-152-dup"
0,0,2.6,2,"1-320-152-dup"
0,0,2.77,3,"1-320-152-dup"
0,0,2.5,0,"1-320-156"
0,0,2.23,1,"1-320-156"
0,0,2.25,2,"1-320-156"
0,0,3,0,"1-320-158"
0,0,2.9,1,"1-320-158"
0,0,2.82,2,"1-320-158"
